H-ID,type_id,current_shelfmark,location H-ID,collection,invented_label,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,collection_of_fragments,collection_of_fragments TRM-ID,old_shelfmark,digitization H-ID,digitization_freetext,date_of_creation,date_freetext,date_of_creation_source,place_of_creation H-ID,place_of_creation_freetext,place_of_creation_source,described_by_source H-ID,described_at_URL,online_catalogue_URL,ARK,reference_notes,review_status,review_status TRM-ID,review_note
47530,106,1592,43787.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],https://lib.ugent.be/en/catalog/rug01:000839810,,[],Action required,9697,
47535,106,"4o Cod. ms.theol. 98, f.6",43884.0,,,No,9483,,Yes,9497,[],[],[],,,,,,,[47485],[https://www.handschriftencensus.de/20270],,,[],Action required,9697,Add digitization.
47540,106,2o Cod. ms. 756,47356.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.arlima.net/ad/baudouin_de_sebourc_en_neerlandais.html],,,[],Action required,9697,Add digitization.
47544,106,E q 73a,43887.0,,,No,9483,,Yes,9497,[],[],[],,,,,,,[47483],[],"https://lib.uva.nl/discovery/fulldisplay?docid=alma990022584600205131&context=L&vid=31UKB_UAM1_INST:UVA&lang=en&search_scope=DN_and_CI_and_PURE&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,boudewijn%20van%20seborch&offset=0",,[],Action required,9697,Add digitization.
47550,106,Ltk. 191,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/21936],"https://catalogue.leidenuniv.nl/discovery/fulldisplay?docid=alma990035459990302711&context=L&vid=31UKB_LEU:UBL_V1&lang=en&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&isFrbr=true&tab=Everything&query=any,contains,ltk.%20191&offset=0",,[],Action required,9697,Add digitization.
47555,106,Ltk. 2040,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[],"https://catalogue.leidenuniv.nl/discovery/fulldisplay?docid=alma990035455610302711&context=L&vid=31UKB_LEU:UBL_V1&lang=en&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&isFrbr=true&tab=Everything&query=any,contains,Ltk.%202040%20blancefloer&offset=0",,[],Action required,9697,Add digitization.
47561,106,I A 24 g,43887.0,,,No,9483,,No,9498,[],[],[],,,,,,,[],[http://jonas.irht.cnrs.fr/manuscrit/79289],,,[],Open,9698,
47563,106,Ltk. 202,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/4052],https://digitalcollections.universiteitleiden.nl/view/item/3443228?solr_nav%5Bid%5D=36357ac68dda576705af&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=2#page/1/mode/1up,,[],Action required,9697,Check.
47567,106,Ltk. 203,43873.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/4052],https://digitalcollections.universiteitleiden.nl/view/item/3443224?solr_nav%5Bid%5D=36357ac68dda576705af&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=1#page/1/mode/1up,,[],Action required,9697,Ark?
47573,106,42.584,46307.0,,,No,9483,,No,9498,[],[],[],,,,,,,[47483],[https://www.handschriftencensus.de/4051],https://dlib.gnm.de/item/Hs42584,,[],Action required,9697,Check.
