H-ID,type_id,URI,digitization_of H-ID,IIIF,ARK
46746,126,https://gallica.bnf.fr/ark:/12148/btv1b9059486c,[46036],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059486c/manifest.json,ark:/12148/btv1b9059486c
46747,126,https://gallica.bnf.fr/ark:/12148/btv1b105097608,[46037],https://gallica.bnf.fr/iiif/ark:/12148/btv1b105097608/manifest.json,ark:/12148/btv1b105097608
46748,126,https://gallica.bnf.fr/ark:/12148/btv1b90593579,[46038],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90593579/manifest.json,ark:/12148/btv1b90593579
46749,126,https://gallica.bnf.fr/ark:/12148/btv1b10537355t,[45707],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10537355t/manifest.json,ark:/12148/btv1b10537355t
46750,126,https://gallica.bnf.fr/ark:/12148/btv1b90595325,[46039],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90595325/manifest.json,ark:/12148/btv1b90595325
46751,126,https://gallica.bnf.fr/ark:/12148/btv1b9058124x,[46040],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9058124x/manifest.json,ark:/12148/btv1b9058124x
46752,126,https://gallica.bnf.fr/ark:/12148/btv1b52517821c,[46041],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52517821c/manifest.json,ark:/12148/btv1b52517821c
46753,126,https://gallica.bnf.fr/ark:/12148/btv1b90094860,[46042],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90094860/manifest.json,ark:/12148/btv1b90094860
46754,126,https://gallica.bnf.fr/ark:/12148/btv1b10721207f,[46043],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10721207f/manifest.json,ark:/12148/btv1b10721207f
46755,126,https://gallica.bnf.fr/ark:/12148/btv1b9060960b,[46044],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9060960b/manifest.json,ark:/12148/btv1b9060960b
46756,126,https://gallica.bnf.fr/ark:/12148/btv1b10549434x,[46045],https://gallica.bnf.fr/iiif/ark:/12148/btv1b10549434x/manifest.json,ark:/12148/btv1b10549434x
46757,126,https://gallica.bnf.fr/ark:/12148/btv1b9060811h,[46048],https://gallica.bnf.fr/iiif/ark:/12148/btv1b9060811h/manifest.json,ark:/12148/btv1b9060811h
46758,126,https://gallica.bnf.fr/ark:/12148/btv1b100324481,[46049],https://gallica.bnf.fr/iiif/ark:/12148/btv1b100324481/manifest.json,ark:/12148/btv1b100324481
46759,126,https://gallica.bnf.fr/ark:/12148/btv1b90659471,[46050],https://gallica.bnf.fr/iiif/ark:/12148/btv1b90659471/manifest.json,ark:/12148/btv1b90659471
