H-ID,type_id,preferred_name,label_name,city H-ID,alternative_names,VIAF,ISNI,biblissima_identifier,website
43809,108,Sächsische Landesbibliothek,Sächsische Landesbibliothek,43698,"[Sächsische Landesbibliothek (Drezno)., Sächsische Landesbibliothek (Dresden, Alemanya), Sächsische Landesbibliothek Dresden, SLUB, Sächsische Landesbibliothek (Drēzdene, Vācija), Sachsische Landesbibliothek (Alemanha), Sächsische Landesbibliothek, Sächsische Landesbibliothek (Drážďany, Německo), Sächsische Landesbibliothek (Dresde, Allemagne)]",122203699.0,0000000123081585,,
43810,108,Massachusetts Historical Society,Massachusetts Historical Society,43453,"[Massachusetts Historical Society (Estados Unidos), Massachusetts Historical Society Library Boston, MA (US-Bhs)]",125214072.0,0000000121515650,,
43811,108,"University of California, Los Angeles. Library",UCLA Library,43487,"[University of California (Berkeley, Calif.) Library, University research library, University research library Los Angeles, Calif., University of California (Los Angeles). University Research Library, University of California Los Angeles, Calif, Library, University of California, Los Angeles. Research Library]",132228110.0,0000000121602279,,
43812,108,Bibliothèque de la ville,Bibliothèque de la ville,42576,"[Bibliothèque publique de la Ville (Neuenburg, Schweiz), Médiathèque municipale de Saint-Étienne.]",134350873.0,0000000122886293,,
43813,108,Biblioteca Civica Nicolò Cuneo Camogli,Biblioteca Civica Nicolò Cuneo Camogli,43699,[],2.8159032787301183e+19,,,
43814,108,Bibliothèque de Chartres,Bibliothèque de Chartres,43700,"[Bibliothèque municipale (Chartres)., bibliothèque municipale de Chartres, Bibliothèque Municipale]",129750491.0,0000000121564938,,
43815,108,Fitzwilliam Museum,Fitzwilliam Museum,43630,"[Fitzwilliam Museum Cambrigde, Great Britain, Fitzwilliam Museum Cambridge]",159048724.0,0000000120978530,,
43816,108,University of Cambridge. Library,University of Cambridge. Library,43630,"[University of Cambridge (Inglaterra). Library, אוניברסיטת קיימברידג'. הספרייה, Biblioteka Uniwersytetu w Cambridge, University of Cambridge. University Library, Llyfrgell Prifysgol Caergrawnt]",140790558.0,0000000459040795,,
43817,108,Stadtbibliothek Trier,Stadtbibliothek Trier,43701,"[Stadtbibliothek Trèves, Allemagne, Stadtbibliothek Trier, Deutschland]",156462269.0,0000000123697101,,
43818,108,Newberry Library,Newberry Library,43462,"[Newberry Library (Chicago, Estados Unidos), Newberry library Chicago, Ill., The Newberry Library Chicago, IL (US-Cn)]",155372052.0,0000000121898997,,
43819,108,Archives départementales de l'Ariège,Archives départementales de l'Ariège,42669,"[Ariège. Archives départementales, Archives départementales (Ariège)]",149670800.0,0000000121827160,,
43820,108,Trinity College,Trinity College,43630,"[University of Cambridge Trinity College, Trinity College Cambridge, Colaiste na Trianaide, Trinity College Library Cambridge (GB-Ctc), Trinity College, Trinity college Cambridge, GB]",137201631.0,0000000122431918,,
43821,108,Biblioteca estense,Biblioteca estense,43702,"[Biblioteca estense (Modène, Italie), Biblioteca estense, Biblioteca Estense Universitaria Modena (I-MOe), Biblioteca estense (Modena, Itálie), Biblioteca Estense universitaria Modène, Italie, Biblioteca Estense Universitaria, Biblioteca Estense Modena, Italija, Biblioteca Estense (Modène), Biblioteca estense (Modena, Italy)]",141633615.0,0000000121716938,,
43822,108,Biblioteca arcivescovile,Biblioteca arcivescovile,43656,"[Biblioteca arcivescovile di Udine, Biblioteca arcivescovile (Udine, Italie), Biblioteca Arcivescovile e Bartoliniana Udine (I-UDba), Palazzo Patriarcale]",168805686.0,0000000121135658,,
43823,108,Biblioteca trivulziana,Biblioteca trivulziana,43625,"[Biblioteca trivulziana Milan, Italie, Biblioteca Trivulziana (Milano)]",125172064.0,0000000119451934,,
43824,108,Bowdoin College. Library,Bowdoin College. Library,43703,[Hawthorne Longfellow Library],140802630.0,,,
43825,108,College of Arms,College of Arms,43399,"[College of arms, College of arms GB, Coleg yr Arfau, College of Arms (Grande-Bretagne), College of Arms (Inghilterra), College of arms (Londres)]",143970573.0,0000000404228686,,
43826,108,Biblioteca medicea laurenziana,Biblioteca medicea laurenziana,43639,"[Medicean-Laurentian Library, Biblioteca medicea laurenziana (Firenze), Biblioteca Medicea Laurenziana Florence, Italie, Biblioteka Laurenziana (Florencja), Biblioteca Medicea Laurenziana (Florencja).]",133196672.0,0000000122867164,,
43827,108,Bibliothèque Interuniversitaire Section Médecine,Bibliothèque de l'École de médecine,42700,"[Bibliothèque interuniversitaire (Montpellier, France). Section médecine, Bibliothèque universitaire Historique de Médecine Montpellier (F-MOf), Bibliothèque interuniversitaire de Montpellier, Bibliothèque interuniversitaire (Montpellier, Francie). Section médecine]",150088932.0,0000000121754440,,
43828,108,"L'Académie des Sciences, Belles-Lettres et Arts de Lyon, Bibliothèque Lyon",L'Académie des sciences et belles-lettres,42688,[],1.7115903264890117e+20,,,
