H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
47764,129,47760.0,perg,9782,codex,9788,255-258,305,"Kienhorst (1988), p. 215.",,,,[rubrication],[9795],none,9800,255-260,215,,3,50,unknown,9535.0,textualis,9806,,
47779,129,47774.0,perg,9782,codex,9788,170,260,"Kienhorst (1988), p. 217.",,,,[rubrication],[9795],none,9800,215-220,128-130,,2,50,unknown,9535.0,textualis,9806,,
47787,129,47782.0,perg,9782,codex,9788,198-203,287-289,"Kienhorst (1988), p. 15.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,248,160,,3,60-61,unknown,9535.0,textualis,9806,,
47794,129,47790.0,perg,9782,codex,9788,300,159,"Kienhorst (1988), p. 220.",,,,[rubrication],[9795],none,9800,,,,3,,,,textualis,9806,,
47799,129,47796.0,perg,9782,codex,9788,33,159,Kienhorst (https://www.dbnl.org/tekst/_tij003199801_01/_tij003199801_01_0009.php),,,,[no decoration],[9797],none,9800,,,,,,,,textualis,9806,,
47902,129,47899.0,perg,9782,codex,9788,NA,NA,NA,,,,[unknown],[9793],unknown,9799,,,,,,,,unknown,9804,,
47908,129,47904.0,perg,9782,codex,9788,142,216-218,"Kienhorst (1988), p. 17.",,,,[rubrication],[9795],none,9800,,140-145,,2,,,,textualis,9806,,
47914,129,47910.0,perg,9782,codex,9788,175,264,"Kienhorst (1988), p. 20.",,,,[rubrication],[9795],none,9800,223,144,,2,50-53,unknown,9535.0,textualis,9806,,
47928,129,47925.0,perg,9782,codex,9788,118,159-165,"Kienhorst (1988), p. 22.",,,,[rubrication],[9795],none,9800,,,,2,32-36,unknown,9535.0,textualis,9806,,
47935,129,47930.0,perg,9782,codex,9788,136,200,"Kienhorst (1988), p. 27.",,220,,[rubrication],[9795],none,9800,185,190,,3-4,,unknown,9535.0,textualis,9806,,
47940,129,47937.0,perg,9782,codex,9788,55,200,https://www.handschriftencensus.de/7569,,,,[unknown],[9793],unknown,9799,175,40,,3,,,,unknown,9804,,
47945,129,47942.0,perg,9782,codex,9788,162,242,"Kienhorst (1988), p. 29.",,,,"[rubrication, initial, unrelated pictures]","[9795, 9794, 9833]",none,9800,,,,2,53,,,textualis,9806,,
47949,129,47946.0,perg,9782,codex,9788,160,230,"Kienhorst (1988), p. 30.",,,,[rubrication],[9795],none,9800,,102-103,,2,,,,textualis,9806,,
47953,129,47950.0,perg,9782,codex,9788,200,290,"Kienhorst (1988), p. 31.",,,,[rubrication],[9795],none,9800,230-235,151-154,,3,50,unknown,9535.0,textualis,9806,,
47966,129,47962.0,perg,9782,codex,9788,170-175,250,"Kienhorst (1988), p. 33.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,201-206,138-143,,2,51-53,unknown,9535.0,textualis,9806,,
47971,129,47968.0,perg,9782,codex,9788,NA,NA,NA,,,,[unknown],[9793],none,9800,,,,2,37,,,textualis,9806,,
47975,129,47972.0,perg,9782,codex,9788,180,260,"Kienhorst (1988), p. 36.",,,,[rubrication],[9795],none,9800,,141,,2,,,,textualis,9806,,
47984,129,47981.0,perg,9782,codex,9788,NA,NA,"Kienhorst (1988), p. 40.",,,,[unknown],[9793],none,9800,,,,3,62,,,textualis,9806,,
47989,129,47986.0,perg,9782,codex,9788,205,290,"Kienhorst (1988), p. 41.",,,,[rubrication],[9795],none,9800,223,145,,2,44-45,unknown,9535.0,textualis,9806,,
